,usmv,sphb,vix,hold_usmv,hold_sphb,usmv_ret,sphb_ret,total_ret,total_cumret
2022-02-01,74.31919860839844,74.98462677001953,21.959999084472656,0.0,1,0.0,0.01855082724995527,0.01855082724995527,5.374417604407176
2022-02-02,75.07049560546875,75.15287017822266,22.09000015258789,1.0,0,0.010109056759734836,0.0,0.010109056759734836,5.438856953780381
2022-02-03,74.1923599243164,73.19338989257812,24.350000381469727,1.0,0,-0.011697480802143168,-0.0,-0.011697480802143168,5.363538548175789
2022-02-04,74.0069808959961,73.836669921875,23.219999313354492,0.0,1,-0.0,0.008788772186135718,0.008788772186135718,5.419466238773399
2022-02-07,73.85086822509766,74.31167602539062,22.860000610351562,0.0,1,-0.0,0.006433200522426352,0.006433200522426352,5.460763952334375
2022-02-08,74.07527160644531,75.2716293334961,21.440000534057617,0.0,1,0.0,0.012917933754817756,0.012917933754817756,5.544223673076145
2022-02-09,74.95341491699219,77.34986114501953,19.959999084472656,1.0,0,0.011854743040462523,0.0,0.011854743040462523,5.621803763119774
2022-02-10,73.45083618164062,76.28106689453125,23.90999984741211,1.0,0,-0.020046834917603285,-0.0,-0.020046834917603285,5.489057556223748
2022-02-11,72.70929718017578,74.63825988769531,27.360000610351562,0.0,1,-0.0,-0.02153623531652138,-0.02153623531652138,5.349307685710462
2022-02-14,72.3580551147461,73.836669921875,28.329999923706055,0.0,1,-0.0,-0.010739665783023655,-0.010739665783023655,5.281118243212348
2022-02-15,72.86541748046875,75.9346923828125,25.700000762939453,0.0,1,0.0,0.028414370029923752,0.028414370029923752,5.459592261176689
2022-02-16,72.6605224609375,76.50865173339844,24.290000915527344,0.0,1,-0.0,0.007558591897527167,0.007558591897527167,5.508417682903349
2022-02-17,71.77261352539062,74.22261047363281,28.110000610351562,0.0,1,-0.0,-0.029879513074306252,-0.029879513074306252,5.313949331653992
2022-02-18,71.59700012207031,73.51007080078125,27.75,0.0,1,-0.0,-0.00960003519553776,-0.00960003519553776,5.253335195847272
2022-02-22,71.06035614013672,72.29283142089844,28.809999465942383,0.0,1,-0.0,-0.016558811148225328,-0.016558811148225328,5.149787399292686
2022-02-23,70.13343811035156,70.63023376464844,31.020000457763672,0.0,1,-0.0,-0.02299809847770573,-0.02299809847770573,5.008353983066799
2022-02-24,70.85547637939453,73.17359924316406,30.31999969482422,0.0,1,0.0,0.03600958602219184,0.03600958602219184,5.224712322671822
2022-02-25,72.44586181640625,74.94505310058594,27.59000015258789,0.0,1,0.0,0.024208920645479415,0.024208920645479415,5.375405889332322
2022-02-28,71.9384994506836,74.78671264648438,30.149999618530273,0.0,1,-0.0,-0.0021127539117098415,-0.0021127539117098415,5.361936225600897
2022-03-01,71.675048828125,72.93608856201172,33.31999969482422,0.0,1,-0.0,-0.024745359422609248,-0.024745359422609248,5.204507827074685
2022-03-02,72.69955444335938,74.59867095947266,30.739999771118164,0.0,1,0.0,0.022795058389337264,0.022795058389337264,5.3459399452699525
2022-03-03,72.93370819091797,73.16370391845703,30.479999542236328,0.0,1,0.0,-0.01923582582047878,-0.01923582582047878,5.223870549815521
2022-03-04,73.42156982421875,71.65946197509766,31.979999542236328,0.0,1,0.0,-0.020559947935876677,-0.020559947935876677,5.095908095351677
2022-03-07,72.27999114990234,67.97801971435547,36.45000076293945,0.0,1,-0.0,-0.05137412644852846,-0.05137412644852846,4.782736142042472
2022-03-08,70.92376708984375,68.5718002319336,35.130001068115234,0.0,1,-0.0,0.008734889896369502,0.008734889896369502,4.833247705542969
2022-03-09,72.06533813476562,71.21411895751953,32.45000076293945,1.0,0,0.016095747473139355,0.0,0.016095747473139355,4.927138187559658
2022-03-10,71.95801544189453,70.56096649169922,30.229999542236328,1.0,0,-0.0014892415084544197,-0.0,-0.0014892415084544197,4.918311247344398
2022-03-11,71.45063781738281,69.06661224365234,30.75,1.0,0,-0.007051023036084403,-0.0,-0.007051023036084403,4.876581098404656
2022-03-14,71.37259674072266,67.44361877441406,31.770000457763672,0.0,1,-0.0,-0.023498958708336626,-0.023498958708336626,4.738487561827053
2022-03-15,72.6605224609375,69.48226165771484,29.829999923706055,0.0,1,0.0,0.030227365024994457,0.030227365024994457,4.9119469200497905
2022-03-16,73.38253784179688,72.50065612792969,26.670000076293945,0.0,1,0.0,0.04344122367639858,0.04344122367639858,5.1687691285666695
2022-03-17,74.24114227294922,73.81685638427734,25.670000076293945,0.0,1,0.0,0.018154321997102763,0.018154321997102763,5.280758949652456
2022-03-18,74.71924591064453,75.2320327758789,23.8700008392334,0.0,1,0.0,0.01917145298405032,0.01917145298405032,5.401170224559871
