,usmv,sphb,vix,hold_usmv,hold_sphb
2017-10-23,46.409942626953125,37.26899719238281,11.069999694824219,1.0,0
2017-10-24,46.30179977416992,37.528072357177734,11.15999984741211,1.0,0
2017-10-25,46.23871994018555,36.92665100097656,11.229999542236328,1.0,0
2017-10-26,46.25674819946289,37.11170196533203,11.300000190734863,1.0,0
2017-11-13,46.635223388671875,37.102447509765625,11.5,1.0,0
2017-11-14,46.725345611572266,36.88964080810547,11.59000015258789,1.0,0
2017-11-15,46.409942626953125,36.741600036621094,13.130000114440918,1.0,0
2018-01-16,48.42829132080078,41.528011322021484,11.65999984741211,1.0,0
2018-01-17,48.880977630615234,41.91794204711914,11.90999984741211,1.0,0
2018-01-18,48.79043960571289,41.843685150146484,12.220000267028809,1.0,0
2018-01-29,49.69580841064453,42.43785858154297,13.84000015258789,1.0,0
2018-01-30,49.406089782714844,41.73226547241211,14.789999961853027,1.0,0
2018-02-02,48.491676330566406,40.729583740234375,17.309999465942383,1.0,0
2018-02-05,46.744300842285156,38.863460540771484,37.31999969482422,1.0,0
2018-03-22,46.790138244628906,39.99778747558594,23.34000015258789,1.0,0
2018-03-23,46.10807418823242,38.890106201171875,24.8700008392334,0.0,1
2018-05-29,47.58134078979492,40.64937973022461,17.020000457763672,1.0,0
2018-06-25,48.56352233886719,40.43391418457031,17.329999923706055,1.0,0
2018-06-27,48.17124557495117,39.90951156616211,17.90999984741211,1.0,0
2018-08-13,50.475563049316406,40.94892501831055,14.779999732971191,1.0,0
2018-09-07,51.88375473022461,41.28603744506836,14.880000114440918,1.0,0
2018-10-05,51.995235443115234,41.2608642578125,14.819999694824219,1.0,0
2018-10-08,52.07788848876953,41.04484176635742,15.6899995803833,1.0,0
2018-10-09,52.132999420166016,40.75366973876953,15.949999809265137,1.0,0
2018-10-10,50.8195686340332,39.06303405761719,22.959999084472656,1.0,0
2018-10-11,49.69902420043945,38.311649322509766,24.979999542236328,0.0,1
2018-10-24,49.790870666503906,35.662986755371094,25.229999542236328,1.0,0
2018-12-07,50.61750793457031,35.16518783569336,23.229999542236328,1.0,0
2018-12-17,49.2054557800293,33.812679290771484,24.520000457763672,1.0,0
2018-12-18,49.02998733520508,34.00053024291992,25.579999923706055,0.0,1
2018-12-19,48.60515594482422,33.070682525634766,25.579999923706055,0.0,1
2018-12-20,47.9217414855957,32.57288360595703,28.3799991607666,0.0,1
2018-12-21,47.27527618408203,31.699384689331055,30.110000610351562,0.0,1
2018-12-24,45.963871002197266,30.925304412841797,36.06999969482422,0.0,1
2019-03-07,52.65590286254883,37.948638916015625,16.59000015258789,1.0,0
2019-05-01,55.190391540527344,41.32667541503906,14.800000190734863,1.0,0
2019-05-06,55.39452362060547,41.26997375488281,15.4399995803833,1.0,0
2019-05-07,54.76355743408203,40.391082763671875,19.31999969482422,1.0,0
2019-05-08,54.74501037597656,40.31547164916992,19.399999618530273,1.0,0
2019-05-13,54.531593322753906,38.47264862060547,20.549999237060547,1.0,0
2019-07-31,58.54115295410156,40.7938346862793,16.1200008392334,1.0,0
2019-08-01,58.45720672607422,39.89131546020508,17.8700008392334,1.0,0
2019-08-05,57.01139450073242,37.734771728515625,24.59000015258789,1.0,0
2019-10-01,59.55303192138672,38.67073440551758,18.559999465942383,1.0,0
2019-10-02,58.7285041809082,37.89864730834961,20.559999465942383,1.0,0
2019-12-02,60.33070373535156,41.739986419677734,14.90999984741211,1.0,0
2019-12-03,60.190155029296875,41.10135269165039,15.960000038146973,1.0,0
2020-01-27,63.403648376464844,43.54597854614258,18.229999542236328,1.0,0
2020-01-31,63.28113555908203,42.8092155456543,18.84000015258789,1.0,0
2020-02-24,63.950313568115234,42.541290283203125,25.030000686645508,1.0,0
2020-02-25,62.3480224609375,40.7902717590332,27.850000381469727,1.0,0
2020-02-27,59.36965560913086,38.55125427246094,39.15999984741211,1.0,0
2020-02-28,57.748504638671875,38.867008209228516,40.11000061035156,1.0,0
2020-03-06,60.49124526977539,36.35051727294922,41.939998626708984,1.0,0
2020-03-09,56.83425521850586,31.709815979003906,54.459999084472656,1.0,0
2020-03-12,50.83979034423828,27.585817337036133,75.47000122070312,1.0,0
2020-03-16,48.756813049316406,26.28451156616211,82.69000244140625,1.0,0
