,usmv,sphb,^VIX,hold_usmv
2012-06-01,22.067527770996094,15.299771308898926,26.65999984741211,0
2012-06-04,22.155895233154297,15.143389701843262,26.1200008392334,0
2012-06-05,22.19605827331543,15.473532676696777,24.68000030517578,0
2012-06-06,22.549530029296875,15.960070610046387,22.15999984741211,0
2012-06-07,22.565593719482422,15.916627883911133,21.719999313354492,0
2012-06-08,22.69413185119629,16.003507614135742,21.229999542236328,0
2012-06-11,22.557567596435547,15.560407638549805,23.559999465942383,0
2012-06-12,22.702165603637695,15.864495277404785,22.09000015258789,0
2012-06-13,22.670026779174805,15.673361778259277,24.270000457763672,0
2012-06-14,22.886930465698242,15.786300659179688,21.68000030517578,0
2012-06-15,23.039560317993164,16.093006134033203,21.110000610351562,0
2012-06-18,23.152029037475586,16.02330207824707,18.31999969482422,1
2012-06-19,23.24842643737793,16.41538429260254,18.3799991607666,1
2012-06-20,23.127927780151367,16.432811737060547,17.239999771118164,1
2012-06-21,22.78249168395996,15.79676628112793,20.079999923706055,0
2012-06-22,22.987743377685547,15.962309837341309,18.110000610351562,1
2012-06-25,22.73822593688965,15.44823932647705,20.3799991607666,0
2012-06-26,22.85895538330078,15.570221900939941,19.719999313354492,1
2012-06-27,22.915298461914062,15.9448823928833,19.450000762939453,1
2012-06-28,22.89920997619629,16.014589309692383,19.709999084472656,1
2012-06-29,23.293603897094727,16.615779876708984,17.079999923706055,1
2012-07-02,23.462627410888672,16.572223663330078,16.799999237060547,1
2012-07-03,23.47872543334961,16.929460525512695,16.65999984741211,1
2012-07-05,23.50287628173828,16.746479034423828,17.5,1
2012-07-06,23.357990264892578,16.48509407043457,17.100000381469727,1
2012-07-09,23.37409019470215,16.310827255249023,17.979999542236328,1
2012-07-10,23.309701919555664,15.95359992980957,18.719999313354492,1
2012-07-11,23.301652908325195,15.979736328125,17.950000762939453,1
2012-07-12,23.357990264892578,15.857755661010742,18.329999923706055,1
2012-07-13,23.607511520385742,16.21498680114746,16.739999771118164,1
2012-07-16,23.55116844177246,16.162708282470703,17.110000610351562,1
2012-07-17,23.720197677612305,16.302114486694336,16.479999542236328,1
2012-07-18,23.768489837646484,16.432811737060547,16.15999984741211,1
2012-07-19,23.760438919067383,16.493804931640625,15.449999809265137,1
2012-07-20,23.58336067199707,16.24983787536621,16.270000457763672,1
2012-07-23,23.349945068359375,16.02330207824707,18.6200008392334,1
2012-07-24,23.172868728637695,15.77933120727539,20.469999313354492,0
2012-07-25,23.205062866210938,15.727056503295898,19.34000015258789,1
2012-07-26,23.486770629882812,16.17142105102539,17.530000686645508,1
2012-07-27,23.865083694458008,16.650644302368164,16.700000762939453,1
2012-07-30,23.881175994873047,16.598358154296875,18.030000686645508,1
2012-07-31,23.744338989257812,16.546079635620117,18.93000030517578,1
2012-08-01,23.63970184326172,16.537372589111328,18.959999084472656,1
2012-08-02,23.527021408081055,16.26726531982422,17.56999969482422,1
2012-08-03,23.760438919067383,16.851037979125977,15.640000343322754,1
2012-08-06,23.75239372253418,16.981733322143555,15.949999809265137,1
2012-08-07,23.7040958404541,17.3215389251709,15.989999771118164,1
2012-08-08,23.720197677612305,17.338970184326172,15.319999694824219,1
2012-08-09,23.663860321044922,17.51323127746582,15.279999732971191,1
2012-08-10,23.663860321044922,17.53065299987793,14.739999771118164,1
2012-08-13,23.655799865722656,17.452238082885742,13.699999809265137,1
2012-08-14,23.720197677612305,17.391246795654297,14.850000381469727,1
2012-08-15,23.720197677612305,17.487091064453125,14.630000114440918,1
2012-08-16,23.75239372253418,17.72234535217285,14.289999961853027,1
2012-08-17,23.768489837646484,17.783334732055664,13.449999809265137,1
2012-08-20,23.73629379272461,17.748483657836914,14.020000457763672,1
2012-08-21,23.663860321044922,17.774621963500977,15.020000457763672,1
2012-08-22,23.655799865722656,17.809476852416992,15.109999656677246,1
2012-08-23,23.567262649536133,17.521947860717773,15.960000038146973,1
2012-08-24,23.73629379272461,17.65264320373535,15.180000305175781,1
2012-08-27,23.720197677612305,17.53065299987793,16.350000381469727,1
2012-08-28,23.71215057373047,17.51323127746582,16.489999771118164,1
2012-08-29,23.73629379272461,17.51323127746582,17.059999465942383,1
2012-08-30,23.62360954284668,17.225696563720703,17.829999923706055,1
2012-08-31,23.7040958404541,17.38253402709961,17.469999313354492,1
